1428,180,NULL,32,NULL,NULL,NULL,NULL,NULL,NULL
19929,80,NULL,NULL,NULL,NULL,NULL,NULL,36,NULL
20748,73,28,NULL,21,NULL,NULL,NULL,NULL,NULL
21348,41,NULL,32,NULL,NULL,NULL,NULL,NULL,NULL
24874,53,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL
31325,110,NULL,NULL,NULL,NULL,NULL,NULL,NULL,39
72974,96,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL
87796,61,47,NULL,NULL,NULL,NULL,NULL,NULL,NULL
91607,199,99,46,NULL,NULL,NULL,NULL,NULL,NULL
99213,47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23
106616,89,33,NULL,NULL,NULL,NULL,NULL,NULL,NULL
123663,54,NULL,NULL,NULL,NULL,NULL,NULL,35,NULL
137467,57,NULL,NULL,NULL,NULL,NULL,32,NULL,NULL
149482,812,NULL,NULL,NULL,234,NULL,NULL,NULL,157
164171,130,NULL,NULL,NULL,40,NULL,NULL,NULL,29
167516,58,NULL,NULL,NULL,26,NULL,NULL,NULL,NULL
168233,28,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL
182959,56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25
192901,86,42,NULL,NULL,NULL,25,NULL,NULL,NULL
193605,42,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL
207524,327,38,36,NULL,NULL,NULL,NULL,NULL,41
210368,47,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL
219609,44,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL
229602,61,NULL,NULL,NULL,30,NULL,NULL,NULL,NULL
237690,171,NULL,NULL,NULL,32,NULL,24,NULL,NULL
237858,67,NULL,NULL,NULL,NULL,27,NULL,NULL,NULL
246114,199,NULL,NULL,30,NULL,23,23,NULL,NULL
286289,185,72,NULL,NULL,NULL,NULL,26,NULL,NULL
299375,48,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
318414,43,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL
343381,74,54,NULL,NULL,NULL,NULL,NULL,NULL,NULL
356582,33,NULL,NULL,26,NULL,NULL,NULL,NULL,NULL
405017,291,NULL,NULL,95,NULL,NULL,49,NULL,NULL
419889,43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24
423316,97,NULL,NULL,38,NULL,NULL,33,41,NULL
425741,56,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL
425823,76,38,NULL,NULL,NULL,NULL,NULL,NULL,NULL
476681,125,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100
489046,56,NULL,NULL,NULL,NULL,NULL,NULL,29,NULL
497087,70,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL
513413,318,NULL,NULL,NULL,NULL,293,NULL,NULL,NULL
517558,247,NULL,NULL,NULL,NULL,235,NULL,NULL,NULL
525146,118,NULL,27,40,NULL,NULL,52,NULL,NULL
547573,40,NULL,NULL,31,NULL,NULL,NULL,NULL,NULL
559070,77,NULL,22,NULL,NULL,24,NULL,NULL,NULL
563900,45,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL
564653,129,NULL,NULL,NULL,NULL,47,NULL,NULL,NULL
613021,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22
634042,47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26
638471,69,NULL,NULL,NULL,NULL,NULL,NULL,28,NULL
654434,129,NULL,NULL,38,NULL,NULL,22,NULL,NULL
655134,54,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL
701829,131,NULL,39,NULL,NULL,NULL,NULL,NULL,NULL
703016,257,80,NULL,NULL,NULL,NULL,NULL,38,51
708095,50,37,NULL,NULL,NULL,NULL,NULL,NULL,NULL
740202,44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28
750565,74,NULL,54,NULL,NULL,NULL,NULL,NULL,NULL
752920,81,NULL,38,NULL,NULL,NULL,NULL,NULL,NULL
759536,45,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL
760807,537,NULL,29,NULL,41,NULL,NULL,NULL,83
778942,73,NULL,NULL,NULL,67,NULL,NULL,NULL,NULL
783103,28,NULL,NULL,NULL,NULL,NULL,NULL,24,NULL
801919,43,NULL,31,NULL,NULL,NULL,NULL,NULL,NULL
808422,45,NULL,NULL,NULL,NULL,NULL,26,NULL,NULL
809807,57,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL
819486,35,NULL,NULL,NULL,NULL,30,NULL,NULL,NULL
862688,68,NULL,NULL,29,NULL,NULL,NULL,NULL,NULL
923837,46,NULL,42,NULL,NULL,NULL,NULL,NULL,NULL
926696,119,NULL,NULL,NULL,NULL,73,NULL,NULL,NULL
937624,56,NULL,NULL,22,NULL,NULL,25,NULL,NULL
951563,32,NULL,31,NULL,NULL,NULL,NULL,NULL,NULL
951614,78,34,NULL,NULL,NULL,NULL,NULL,NULL,NULL
987864,67,NULL,NULL,NULL,NULL,NULL,NULL,29,NULL
997474,203,NULL,29,NULL,NULL,NULL,NULL,NULL,NULL
1028039,200,NULL,NULL,97,NULL,NULL,28,NULL,NULL
1030647,39,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1059860,72,NULL,NULL,NULL,32,NULL,NULL,NULL,NULL
1110063,71,NULL,NULL,49,NULL,NULL,NULL,NULL,NULL
1126393,55,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1146032,170,NULL,76,NULL,NULL,NULL,NULL,NULL,NULL
1153165,283,NULL,NULL,NULL,NULL,NULL,NULL,NULL,136
1166137,228,NULL,NULL,124,NULL,NULL,118,31,NULL
1168156,194,NULL,NULL,NULL,NULL,NULL,NULL,NULL,137
1178669,319,NULL,127,NULL,30,NULL,NULL,NULL,27
1185053,56,39,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1185254,48,NULL,NULL,NULL,NULL,33,NULL,NULL,NULL
1196036,31,NULL,NULL,28,NULL,NULL,NULL,NULL,NULL
1219414,29,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1223157,61,NULL,NULL,NULL,35,NULL,NULL,NULL,NULL
1226652,121,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1298297,66,NULL,NULL,31,NULL,NULL,30,NULL,NULL
1315427,74,66,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1348351,41,39,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1381158,149,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21
1397051,83,NULL,NULL,42,NULL,NULL,NULL,NULL,NULL
1434905,43,NULL,NULL,NULL,NULL,NULL,NULL,39,NULL
1442225,142,88,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1454876,41,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1499781,371,NULL,NULL,83,NULL,NULL,119,34,NULL
1514057,55,NULL,NULL,NULL,NULL,55,NULL,NULL,NULL
1544223,73,NULL,25,NULL,NULL,33,NULL,NULL,NULL
1576929,65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21
1607510,33,NULL,28,NULL,NULL,NULL,NULL,NULL,NULL
1613043,42,NULL,28,NULL,NULL,NULL,NULL,NULL,NULL
1673861,66,NULL,51,NULL,NULL,NULL,NULL,NULL,NULL
1699916,42,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1751692,103,NULL,NULL,29,NULL,NULL,26,NULL,NULL
1986499,149,NULL,23,56,NULL,NULL,41,NULL,NULL
2051647,60,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2173029,66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,57
2206218,69,NULL,24,NULL,NULL,NULL,NULL,NULL,NULL
2240163,64,NULL,NULL,NULL,NULL,NULL,43,NULL,NULL
2270076,44,NULL,32,NULL,NULL,24,NULL,NULL,NULL
2340285,32,NULL,NULL,NULL,30,NULL,NULL,NULL,NULL
2534118,39,34,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2556478,41,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL
2582017,66,NULL,NULL,NULL,23,NULL,NULL,NULL,NULL
2657875,109,NULL,33,NULL,NULL,NULL,NULL,NULL,NULL
2776885,71,NULL,NULL,NULL,68,NULL,NULL,NULL,NULL
2788600,81,NULL,NULL,NULL,51,NULL,NULL,NULL,NULL
2865175,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23
2914693,40,NULL,NULL,NULL,NULL,NULL,NULL,24,NULL
2950593,226,NULL,NULL,40,28,NULL,NULL,NULL,NULL
3092632,115,NULL,NULL,NULL,68,NULL,NULL,NULL,NULL
3137388,58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20
3257983,54,39,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3276954,85,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3332838,68,NULL,NULL,NULL,NULL,25,NULL,NULL,NULL
3511012,298,21,NULL,165,NULL,NULL,141,NULL,NULL
3520404,85,NULL,NULL,NULL,33,NULL,NULL,NULL,NULL
3530799,38,NULL,29,NULL,NULL,NULL,NULL,NULL,NULL
3667943,46,NULL,36,NULL,NULL,NULL,NULL,NULL,NULL
7927,61,NULL,34,NULL,NULL,NULL,NULL,NULL,NULL
36071,69,NULL,45,NULL,NULL,NULL,NULL,NULL,NULL
37643,32,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL
41619,57,NULL,34,NULL,NULL,NULL,NULL,NULL,NULL
42588,60,29,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50394,256,NULL,NULL,152,NULL,NULL,50,30,NULL
69882,82,NULL,NULL,NULL,27,NULL,NULL,NULL,NULL
72871,108,53,NULL,NULL,NULL,NULL,NULL,NULL,NULL
89334,58,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL
124111,102,NULL,46,NULL,NULL,NULL,NULL,NULL,NULL
136733,70,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL
146857,173,45,NULL,26,NULL,NULL,NULL,NULL,NULL
147562,283,NULL,NULL,NULL,80,NULL,NULL,NULL,NULL
154513,112,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL
165309,237,47,NULL,NULL,NULL,NULL,NULL,NULL,NULL
173397,436,108,NULL,NULL,NULL,NULL,NULL,NULL,175
184093,25,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL
184730,438,NULL,332,NULL,NULL,NULL,NULL,NULL,NULL
233615,92,NULL,NULL,20,NULL,NULL,NULL,42,NULL
241821,44,NULL,36,NULL,NULL,NULL,NULL,NULL,NULL
255439,154,NULL,NULL,NULL,NULL,NULL,NULL,67,NULL
275477,109,NULL,NULL,71,NULL,NULL,25,NULL,NULL
276232,214,NULL,73,NULL,NULL,NULL,NULL,NULL,NULL
279521,90,66,NULL,NULL,NULL,NULL,NULL,NULL,NULL
306498,32,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL
307283,52,NULL,NULL,NULL,30,NULL,NULL,NULL,NULL
315386,102,NULL,NULL,NULL,NULL,50,NULL,NULL,NULL
324831,199,26,NULL,NULL,NULL,NULL,35,NULL,NULL
357034,82,NULL,NULL,36,NULL,NULL,70,NULL,NULL
358438,37,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
359156,112,NULL,24,NULL,NULL,61,NULL,NULL,NULL
364253,209,NULL,27,NULL,NULL,NULL,NULL,NULL,NULL
382906,115,39,NULL,NULL,NULL,41,NULL,NULL,NULL
392297,26,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL
392684,183,NULL,NULL,22,NULL,NULL,35,NULL,NULL
396077,45,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL
426894,55,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL
428916,53,NULL,42,NULL,NULL,NULL,NULL,NULL,NULL
430652,70,NULL,NULL,NULL,NULL,65,NULL,NULL,NULL
466534,378,NULL,48,NULL,NULL,NULL,NULL,NULL,226
504356,51,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL
512225,61,NULL,NULL,NULL,57,NULL,NULL,NULL,NULL
525965,80,NULL,47,NULL,NULL,NULL,NULL,NULL,NULL
552669,124,NULL,NULL,42,NULL,NULL,41,20,NULL
562697,50,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL
572140,30,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL
581164,83,43,NULL,NULL,NULL,NULL,NULL,NULL,NULL
586011,40,NULL,NULL,NULL,NULL,NULL,NULL,32,NULL
602323,339,NULL,157,NULL,NULL,NULL,NULL,NULL,42
627492,69,NULL,NULL,NULL,28,NULL,NULL,NULL,NULL
636987,230,NULL,39,NULL,NULL,NULL,NULL,NULL,NULL
672147,181,NULL,NULL,21,NULL,NULL,58,54,NULL
682662,62,NULL,41,NULL,NULL,NULL,NULL,NULL,NULL
691867,176,85,NULL,NULL,NULL,NULL,NULL,NULL,NULL
695697,41,NULL,NULL,NULL,NULL,NULL,NULL,35,NULL
710502,71,37,NULL,NULL,NULL,NULL,NULL,NULL,NULL
712741,43,NULL,27,NULL,NULL,NULL,NULL,NULL,NULL
730858,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26
752603,207,NULL,NULL,34,NULL,NULL,NULL,95,NULL
763600,96,NULL,NULL,46,NULL,NULL,NULL,NULL,NULL
779444,39,35,NULL,NULL,NULL,NULL,NULL,NULL,NULL
784187,115,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL
821692,56,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL
850271,51,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL
947386,107,34,NULL,NULL,NULL,NULL,NULL,NULL,NULL
951448,218,NULL,65,NULL,NULL,199,NULL,NULL,NULL
969613,104,64,NULL,NULL,NULL,NULL,NULL,NULL,NULL
973122,170,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL
975129,39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28
1033422,369,NULL,38,NULL,NULL,NULL,NULL,NULL,NULL
1036530,65,NULL,NULL,NULL,28,NULL,NULL,NULL,NULL
1078678,53,NULL,NULL,NULL,NULL,43,NULL,NULL,NULL
1080800,36,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1108811,37,NULL,NULL,NULL,NULL,31,NULL,NULL,NULL
1133011,131,NULL,121,NULL,NULL,NULL,NULL,NULL,NULL
1136506,212,39,NULL,NULL,NULL,43,NULL,NULL,NULL
1155908,31,NULL,NULL,NULL,NULL,29,NULL,NULL,NULL
1181847,87,NULL,39,NULL,NULL,NULL,NULL,NULL,20
1216775,177,NULL,142,NULL,NULL,NULL,NULL,NULL,NULL
1323785,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20
1342183,34,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL
1348721,23,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1355252,82,NULL,NULL,NULL,NULL,72,NULL,NULL,NULL
1365697,66,NULL,NULL,27,NULL,NULL,NULL,NULL,NULL
1367705,68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20
1370995,23,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL
1380723,130,NULL,28,NULL,NULL,115,NULL,NULL,NULL
1394981,32,NULL,24,NULL,NULL,NULL,NULL,NULL,NULL
1465623,69,NULL,58,NULL,NULL,NULL,NULL,NULL,NULL
1468181,76,NULL,NULL,NULL,NULL,37,NULL,NULL,NULL
1468449,51,NULL,NULL,NULL,NULL,33,NULL,NULL,NULL
1498329,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24
1514206,39,NULL,NULL,NULL,NULL,37,NULL,NULL,NULL
1551691,48,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1552578,28,NULL,24,NULL,NULL,NULL,NULL,NULL,NULL
1554264,87,NULL,NULL,25,NULL,NULL,NULL,NULL,NULL
1561937,77,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL
1562755,54,NULL,NULL,NULL,NULL,52,NULL,NULL,NULL
1563123,74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,57
1581090,693,NULL,23,28,342,116,NULL,51,NULL
1591067,106,NULL,NULL,NULL,NULL,NULL,27,24,NULL
1607462,66,NULL,NULL,23,NULL,NULL,28,23,NULL
1719369,57,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1738522,60,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL
1745291,83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27
1763507,36,NULL,31,NULL,NULL,NULL,NULL,NULL,NULL
1920368,53,NULL,NULL,32,NULL,NULL,24,NULL,NULL
1921872,256,NULL,142,NULL,NULL,155,NULL,NULL,NULL
2009197,63,56,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2047987,43,NULL,NULL,NULL,NULL,29,NULL,NULL,NULL
2220174,106,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31
2232273,43,NULL,NULL,21,NULL,NULL,27,NULL,NULL
